Building Type,Main Function,Building Size,EUI2020,EUI Quartile/ Energy Ranking2020,EUI2021 ,EUI Quartile/ Energy Ranking 2021,EUI2022 ,EUI Quartile/ Energy Ranking 2022,TOP/CSC Year,Award (Green/Non-Green),Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Room,AC Type,Age  of Chiller,Aircon system efficiency (kW/RT)
Commercial Building,Industrial,Large,3725,N/A,4453,N/A,4580,N/A,2015,Platinum,Existing Data Centres,"35,218","28,536",81%,0,Water Cooled Chilled Water Plant,7,0.744
Commercial Building,Industrial,Large,2044,Bottom Quartile,2214,Bottom Quartile,2305,Bottom Quartile,1999,N/A,N/A,"38,349","20,000",52%,0,Water Cooled Chilled Water Plant,20,0
Commercial Building,Industrial,Large,1157,Bottom Quartile,1182,Bottom Quartile,1151,Bottom Quartile,2014,Platinum,New Building for Non-Residential buildings (version 3),"19,173","19,173",100%,0,Water Cooled Chilled Water Plant,5,0.578
Commercial Building,Office,Large,553,Bottom Quartile,661,Bottom Quartile,805,Bottom Quartile,1986,N/A,N/A,"15,819","12,724",80%,0,Water Cooled Chilled Water Plant,0,0
Commercial Building,Industrial,Large,713,Bottom Quartile,712,Bottom Quartile,724,Bottom Quartile,1995,GoldPlus,Existing Building for Non-Residential buildings (version 3),"30,469","22,476",74%,0,Water Cooled Chilled Water Plant,8,0.582
Commercial Building,Industrial,Large,791,Bottom Quartile,754,Bottom Quartile,695,Bottom Quartile,1995,N/A,N/A,"31,179","21,500",69%,0,Water Cooled Chilled Water Plant,27,0
Commercial Building,Office,Large,642,N/A,649,N/A,659,N/A,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"36,007","25,895",72%,0,District Cooling System (DCS),0,0.05
Commercial Building,Industrial,Large,566,Bottom Quartile,529,Bottom Quartile,568,Bottom Quartile,2011,Certified,Existing Non-Residental Buildings ENRB: 2017,"20,190","16,870",84%,0,Water Cooled Chilled Water Plant,12,0
Commercial Building,Office,Large,496,N/A,522,N/A,523,N/A,2007,Platinum,New Building (version 1),"20,619","13,947",68%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,503,Bottom Quartile,491,Bottom Quartile,494,Bottom Quartile,2014,Gold,GM:2021 In Operation,"41,193","30,413",74%,0,Water Cooled Chilled Water Plant,5,0.578
