Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Hotel,,336.0,Bottom Quartile,314,Bottom Quartile,284,3rd Quartile,2016,,,"11,897","11,526",97%,395,Others,0.0,0.0
Commercial Building,Office,Large,138.5,,0,,0,,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"53,825",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,222.85,,0,,0,,1977,,,"37,281",0,0%,0,,0.0,0.0
Commercial Building,Retail,Large,424.9,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"39,913",0,0%,0,,8.0,0.0
Commercial Building,Office,Medium,265.0,Bottom Quartile,273,Bottom Quartile,278,Bottom Quartile,1998,,,"8,908","8,907",100%,0,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Large,194.0,3rd Quartile,172,3rd Quartile,146,2nd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"22,946","20,132",88%,0,Water Cooled Chilled Water Plant,14.0,0.633
Commercial Building,Retail,Large,229.0,2nd Quartile,197,2nd Quartile,222,2nd Quartile,2002,,,"11,035","9,985",90%,0,Water Cooled Chilled Water Plant,3.0,0.58
Commercial Building,Retail,Large,166.0,Top Quartile,153,Top Quartile,155,Top Quartile,2002,,,"34,684","25,164",73%,0,Water Cooled Chilled Water Plant,21.0,0.89
Commercial Building,Office,Large,99.0,Top Quartile,88,Top Quartile,101,Top Quartile,1983,Platinum,GM:2021 In Operation,"21,722","1,57,771",726%,0,Water Cooled Chilled Water Plant,5.0,0.58
Commercial Building,Office,Large,2043.55,,0,,0,,1999,,,"38,349",0,0%,0,,16.0,0.0
Commercial Building,Office,Large,142.08,,0,,0,,2010,Platinum,Existing Building for Non-Residential buildings (version 3),"3,12,724",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,89.91,,0,,0,,2019,Platinum,New Building for Non-Residential buildings (version 4.1),"21,595",0,0%,0,,1.0,0.0
Commercial Building,Hotel,Large,117.68,,0,,0,,1971,Gold,Existing Building for Non-Residential buildings (version 3),"31,184",0,0%,0,,5.0,0.0
Commercial Building,Retail,Small,228.96,,0,,0,,1983,,,"14,571",0,0%,0,,10.0,0.0
Commercial Building,Hotel,,36.0,Top Quartile,35,Top Quartile,39,Top Quartile,2012,Platinum,Existing Non-Residental Buildings ENRB: 2017,"45,000","3,100",7%,140,Others,0.0,0.0
Commercial Building,Hotel,Small,120.42,,0,,0,,2004,,,"9,336",0,0%,0,,13.0,0.0
Commercial Building,Office,Large,217.8,,0,,0,,2008,,,"29,812",0,0%,0,,12.0,0.0
Commercial Building,Hotel,Small,357.94,,0,,0,,2010,Gold,Existing Building for Non-Residential buildings (version 3),"8,259",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,327.0,Bottom Quartile,226,Bottom Quartile,235,Bottom Quartile,2016,Platinum,New Building for Non-Residential buildings (version 4),"1,29,726","1,15,000",89%,223,Water Cooled Chilled Water Plant,5.0,0.645
Commercial Building,Office,Large,0.0,,0,,37,Top Quartile,2022,,,"16,300","5,670",35%,0,Others,0.0,0.0
Commercial Building,Office,Small,50.63,,0,,0,,2020,Platinum,Non-Residential Buildings NRB: 2015,"40,389",0,0%,0,,1.0,0.0
Commercial Building,Hotel,Large,211.11,,0,,0,,1995,GoldPlus,Existing Building for Non-Residential buildings (version 3),"26,385",0,0%,0,,6.0,0.0
Sports & Recreation Centre,Sports Complex,,73.0,,56,,69,,1990,,,"5,091",300,6%,0,Others,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2013,Platinum,Existing Building for Non-Residential buildings (version 3),"7,251","7,251",100%,0,Water Cooled Chilled Water Plant,10.0,0.65
Educational Institution,ITE/ Polytechnic,,61.0,,59,,63,,1963,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"4,930","1,54,343",42%,0,Water Cooled Chilled Water Plant,7.0,0.7
Commercial Building,Office,Large,83.0,Top Quartile,80,Top Quartile,84,Top Quartile,2004,,,"19,516","1,090",6%,0,Others,0.0,0.0
Commercial Building,Office,Medium,120.0,2nd Quartile,119,2nd Quartile,99,Top Quartile,1974,,,"8,675","6,960",80%,0,Water Cooled Chilled Water Plant,20.0,0.0
Commercial Building,Retail,Medium,267.0,2nd Quartile,311,2nd Quartile,333,3rd Quartile,2016,,,"9,921","7,374",74%,0,Water Cooled Chilled Water Plant,7.0,0.0
Commercial Building,Office,Small,182.79,,0,,0,,2003,,,"9,233",0,0%,0,,0.0,0.0
Commercial Building,Hotel,Large,203.07,,0,,0,,1900,Gold,Existing Building for Non-Residential buildings (version 3),"29,616",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,285.0,Bottom Quartile,189,3rd Quartile,165,3rd Quartile,2001,Platinum,Existing Building for Non-Residential buildings (version 3),"30,404","28,950",95%,0,Water Cooled Chilled Water Plant,2.0,0.55
Commercial Building,Office,Large,188.0,3rd Quartile,201,Bottom Quartile,204,3rd Quartile,2005,Platinum,Existing Building for Non-Residential buildings (version 2.1),"58,783","58,783",100%,0,Water Cooled Chilled Water Plant,18.0,0.81
Commercial Building,Office,Large,145.0,2nd Quartile,144,2nd Quartile,116,Top Quartile,2005,Platinum,Existing Non-Residental Buildings ENRB: 2017,"58,824","43,516",74%,0,Water Cooled Chilled Water Plant,0.6,0.83
Commercial Building,Office,,0.0,,0,,0,,2017,Platinum,Existing Building for Non-Residential buildings (version 3),"1,28,557","1,10,438",86%,0,Water Cooled Chilled Water Plant,13.0,0.61
Commercial Building,Mixed Development,Omit,344.39,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"70,961",0,0%,0,,5.0,0.0
Sports & Recreation Centre,Recreation Club,,127.0,,127,,142,,2009,GoldPlus,GM:2021 In Operation,"17,734",400,2%,0,Others,0.0,0.0
Commercial Building,Office,Large,712.95,,0,,0,,1995,GoldPlus,Existing Building for Non-Residential buildings (version 3),"30,469",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,190.25,,0,,0,,1983,,,"4,736",0,0%,0,,5.0,0.0
Commercial Building,Hotel,Large,298.57,,0,,0,,2007,GoldPlus,New Building (version 1),"30,850",0,0%,0,,0.0,0.0
Commercial Building,Hotel,,270.0,3rd Quartile,244,3rd Quartile,225,2nd Quartile,2010,,,"22,606","22,058",98%,308,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,78.0,Top Quartile,93,Top Quartile,94,Top Quartile,2010,,,"16,153","2,843",18%,0,Others,0.0,0.0
Commercial Building,Office,Small,129.97,,0,,0,,1995,,,"10,943",0,0%,0,,27.0,0.0
Commercial Building,Office,Small,196.61,,0,,0,,2001,,,"11,015",0,0%,0,,18.0,0.0
Commercial Building,Hotel,Large,206.19,,0,,0,,1985,Platinum,Existing Building for Non-Residential buildings (version 3),"31,224",0,0%,0,,3.0,0.0
